ORG_NAME,Part of OrgUnit,ORG_UNIT,Standard Geographical Classification,YEAR,SOURCE,SUB_SECTOR,Building Type,CONNECTION,kWh,GJ,Emissions (tonnes CO2e)
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,Res,COMMON USE,492,"17,679,025","63,644","4,761"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,Res,MOBILE/OTHER,"5,177","40,829,928","146,988","4,761"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,Res,ROW HOME,"2,582","25,459,891","91,656","4,761"
East Kootenay Regional District,_British Columbia_,1005901,1000,2022,BC Hydro,Res,SINGLE/DUPLEX,"26,183","301,048,184","1,083,773","4,761"
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,CONSTRUCTION,17,"80,829",291,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,FOOD RETAIL,11,"1,942,562","6,993",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,HEALTH SERVICES,7,"214,210",771,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,HOTELS,59,"2,968,050","10,685",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_AGRICULTURE,42,"854,669","3,077",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_CHEMICAL,0,0,0,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_FOOD/BEVERAGES,11,"171,877",619,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_MANUFACTURING,35,"1,068,821","3,848",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_MUNICIPAL PUMPING,17,"476,839","1,717",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_NON-BUILDINGS,86,"2,027,706","7,300",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_OTHER INDUSTRIAL,16,"424,976","1,530",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_TRANSPORTATION,28,"620,426","2,234",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IND_WOOD,33,"1,578,030","5,681",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,IRRIGATION,5,"44,608",161,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,NON-FOOD RETAIL,74,"1,423,854","5,126",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,NURSING HOME,3,"426,948","1,537",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,OFFICES,136,"2,863,230","10,308",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,OTHER COMMERCIAL,52,"3,283,197","11,820",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,PUBLIC EV CHARGING,0,0,0,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,PUBLIC HOSPITAL,4,"1,604,924","5,778",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,RESTAURANT,13,"477,252","1,718",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,SCHOOL,12,"823,924","2,966",273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,STREET LIGHT,41,"166,507",599,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,UNIVERSITY/COLLEGE,0,0,0,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,CSMI,WAREHOUSES,14,"163,950",590,273
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,Res,APARTMENT,97,"688,951","2,480",551
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,Res,COMMON USE,0,0,0,551
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,Res,MOBILE/OTHER,794,"6,686,286","24,071",551
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,Res,ROW HOME,20,"214,989",774,551
Central Kootenay Regional District,_British Columbia_,1005903,3000,2022,BC Hydro,Res,SINGLE/DUPLEX,"3,015","40,335,883","145,209",551
Kootenay-Boundary Regional District,_British Columbia_,1005905,5000,,,,,,,,
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,CONSTRUCTION,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,FOOD RETAIL,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,HEALTH SERVICES,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,HOTELS,11,"2,217,394","7,983",48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_AGRICULTURE,33,"747,727","2,692",48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_CHEMICAL,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_FOOD/BEVERAGES,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_MANUFACTURING,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_MUNICIPAL PUMPING,4,"62,255",224,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_NON-BUILDINGS,9,"128,083",461,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_OTHER INDUSTRIAL,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_TRANSPORTATION,3,"194,016",698,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IND_WOOD,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,IRRIGATION,17,"177,618",639,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,NON-FOOD RETAIL,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,NURSING HOME,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,OFFICES,4,"105,644",380,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,OTHER COMMERCIAL,4,"499,132","1,797",48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,PUBLIC EV CHARGING,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,PUBLIC HOSPITAL,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,RESTAURANT,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,SCHOOL,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,STREET LIGHT,5,"9,529",34,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,UNIVERSITY/COLLEGE,0,0,0,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,CSMI,WAREHOUSES,3,"44,937",162,48
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,Res,APARTMENT,0,0,0,63
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,Res,COMMON USE,0,0,0,63
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,Res,MOBILE/OTHER,53,"591,368","2,129",63
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,Res,ROW HOME,0,0,0,63
Okanagan-Similkameen Regional District,_British Columbia_,1005907,7000,2022,BC Hydro,Res,SINGLE/DUPLEX,319,"4,886,337","17,591",63
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,CONSTRUCTION,351,"9,864,981","35,514","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,FOOD RETAIL,186,"53,684,583","193,264","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,HEALTH SERVICES,222,"8,605,919","30,981","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,HOTELS,275,"40,204,013","144,734","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_AGRICULTURE,"5,238","463,800,467","1,669,682","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_CHEMICAL,86,"46,099,431","165,958","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_FOOD/BEVERAGES,302,"196,357,353","706,886","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_MANUFACTURING,"1,066","110,549,855","397,979","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_MUNICIPAL PUMPING,297,"21,464,705","77,273","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_NON-BUILDINGS,"1,671","34,144,725","122,921","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_OTHER INDUSTRIAL,424,"48,864,763","175,913","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_TRANSPORTATION,511,"24,842,880","89,434","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IND_WOOD,309,"44,736,929","161,053","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,IRRIGATION,757,"9,543,962","34,358","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,NON-FOOD RETAIL,"2,648","142,038,031","511,337","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,NURSING HOME,62,"24,881,889","89,575","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,OFFICES,"2,770","145,548,538","523,975","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,OTHER COMMERCIAL,605,"62,789,997","226,044","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,PUBLIC EV CHARGING,27,"2,371,886","8,539","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,PUBLIC HOSPITAL,0,0,0,"19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,RESTAURANT,601,"50,799,199","182,877","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,SCHOOL,280,"37,247,609","134,091","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,STREET LIGHT,669,"12,918,965","46,508","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,UNIVERSITY/COLLEGE,17,"9,226,907","33,217","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,CSMI,WAREHOUSES,979,"74,677,624","268,839","19,263"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,Res,APARTMENT,"24,829","124,776,042","449,194","15,415"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,Res,COMMON USE,"1,800","68,563,527","246,829","15,415"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,Res,MOBILE/OTHER,"5,064","58,500,308","210,601","15,415"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,Res,ROW HOME,"14,974","137,184,840","493,865","15,415"
Fraser Valley Regional District,_British Columbia_,1005909,9000,2022,BC Hydro,Res,SINGLE/DUPLEX,"70,639","951,595,768","3,425,745","15,415"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,CONSTRUCTION,"3,167","125,439,260","451,581","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,FOOD RETAIL,"1,896","421,352,254","1,516,868","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,HEALTH SERVICES,"1,668","75,367,996","271,325","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,HOTELS,645,"200,490,912","721,767","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_AGRICULTURE,"4,637","377,989,180","1,360,761","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_CHEMICAL,598,"179,949,643","647,819","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_FOOD/BEVERAGES,"2,175","555,322,284","1,999,160","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_MANUFACTURING,"7,876","766,051,029","2,757,784","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_MUNICIPAL PUMPING,721,"112,255,834","404,121","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_NON-BUILDINGS,"9,632","293,896,160","1,058,026","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_OTHER INDUSTRIAL,"2,340","158,989,332","572,362","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_TRANSPORTATION,"1,787","477,734,739","1,719,845","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IND_WOOD,"1,212","275,375,154","991,351","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,IRRIGATION,270,"3,935,696","14,169","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,NON-FOOD RETAIL,"19,106","1,009,859,427","3,635,494","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,NURSING HOME,350,"180,675,901","650,433","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,OFFICES,"21,199","1,901,349,065","6,844,857","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,OTHER COMMERCIAL,"3,598","568,681,814","2,047,255","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,PUBLIC EV CHARGING,168,"32,297,795","116,272","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,PUBLIC HOSPITAL,29,"182,555,762","657,201","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,RESTAURANT,"6,154","472,824,673","1,702,169","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,SCHOOL,"1,922","239,269,390","861,370","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,STREET LIGHT,"3,797","107,957,965","388,649","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,UNIVERSITY/COLLEGE,107,"96,959,774","349,055","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,CSMI,WAREHOUSES,"7,301","594,550,408","2,140,381","108,213"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,Res,APARTMENT,"429,328","1,850,489,612","6,661,763","105,885"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,Res,COMMON USE,"21,454","1,299,015,523","4,676,456","105,885"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,Res,MOBILE/OTHER,"7,338","72,199,153","259,917","105,885"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,Res,ROW HOME,"124,210","1,141,309,418","4,108,714","105,885"
Metro Vancouver Regional District,_British Columbia_,1005915,15000,2022,BC Hydro,Res,SINGLE/DUPLEX,"417,194","4,845,700,982","17,444,524","105,885"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,CONSTRUCTION,523,"15,493,215","55,776","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,FOOD RETAIL,304,"69,692,580","250,893","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,HEALTH SERVICES,408,"13,434,960","48,366","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,HOTELS,287,"64,777,264","233,198","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_AGRICULTURE,"1,386","44,795,311","161,263","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_CHEMICAL,45,"5,263,321","18,948","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_FOOD/BEVERAGES,298,"38,713,489","139,369","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_MANUFACTURING,"1,148","64,186,699","231,072","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_MUNICIPAL PUMPING,429,"32,203,474","115,933","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_NON-BUILDINGS,"2,425","42,182,740","151,858","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_OTHER INDUSTRIAL,373,"21,433,116","77,159","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_TRANSPORTATION,304,"48,302,055","173,887","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IND_WOOD,143,"7,197,923","25,913","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,IRRIGATION,76,"845,567","3,044","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,NON-FOOD RETAIL,"2,996","144,366,173","519,718","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,NURSING HOME,104,"46,210,052","166,356","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,OFFICES,"4,013","250,388,074","901,397","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,OTHER COMMERCIAL,918,"94,402,654","339,850","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,PUBLIC EV CHARGING,20,"531,398","1,913","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,PUBLIC HOSPITAL,6,"4,956,083","17,842","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,RESTAURANT,857,"65,508,769","235,832","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,SCHOOL,367,"42,468,235","152,886","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,STREET LIGHT,701,"12,744,295","45,879","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,UNIVERSITY/COLLEGE,17,"52,843,160","190,235","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,CSMI,WAREHOUSES,748,"37,557,855","135,208","14,034"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,Res,APARTMENT,"64,304","284,334,562","1,023,604","26,274"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,Res,COMMON USE,"4,075","152,675,661","549,632","26,274"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,Res,MOBILE/OTHER,"5,907","61,132,766","220,078","26,274"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,Res,ROW HOME,"13,676","143,509,030","516,633","26,274"
Capital Regional District,_British Columbia_,1005917,17000,2022,BC Hydro,Res,SINGLE/DUPLEX,"107,208","1,643,333,442","5,916,000","26,274"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,CONSTRUCTION,93,"1,801,045","6,484","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,FOOD RETAIL,73,"22,627,766","81,460","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,HEALTH SERVICES,90,"2,921,987","10,519","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,HOTELS,164,"12,802,758","46,090","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_AGRICULTURE,"1,013","38,797,676","139,672","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_CHEMICAL,15,"836,505","3,011","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_FOOD/BEVERAGES,112,"10,833,473","39,001","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_MANUFACTURING,300,"28,845,851","103,845","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_MUNICIPAL PUMPING,200,"9,021,476","32,477","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_NON-BUILDINGS,635,"13,394,251","48,219","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_OTHER INDUSTRIAL,120,"4,086,581","14,712","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_TRANSPORTATION,71,"1,513,968","5,450","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IND_WOOD,88,"65,051,322","234,185","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,IRRIGATION,138,"1,632,256","5,876","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,NON-FOOD RETAIL,853,"30,731,604","110,634","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,NURSING HOME,24,"7,312,771","26,326","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,OFFICES,"1,052","39,742,812","143,074","4,262"
Cowichan Valley Regional District,_British Columbia_,1005919,19000,2022,BC Hydro,CSMI,OTHER COMMERCIAL,277,"21,053,419","75,792","4,262"
